alpha,gamma_exp,M_0,rho_max,n_mob,ic_mode,rho_mean_ic,noise_amplitude,eta,n_steps,lambda_1,lambda_1_r2,G0_fit,lambda_2,total_rho_change_pct,scale_factor_ratio,basins_initial,basins_final,basins_max,basins_grew,horizon_frac,rho_final_max,rho_final_min,rho_final_std,lap_pos_frac,lap_mean,lap_std,w_eff,has_inflation,has_structure_formation,has_residual_gradient,has_thinning,has_heat_death,phase_sequence,error,rho_mean,N,cfl_safety,seed
1.2,0.3,1.0,100.0,2,uniform_noise,50.0,0.5,1.1111111111111124e-07,20000,0.43937076956234317,0.9999999988647101,0.27071382896235874,0.280615162863163,-8.906884001673562e-05,1.0009524232682645,82,82,82,False,0.0,51.45598310796339,48.92730962805469,0.46872148560684984,0.53125,0.0,1.0478615437718233,-0.9996878273655575,False,False,False,False,False,transition,,50.0,256,0.4,42
1.4,0.3,1.0,100.0,2,uniform_noise,50.0,0.5,9.523809523809535e-08,20000,0.43932454713834096,0.9999999991679295,0.2707138303820119,0.3335776480443241,-9.076615713788902e-05,1.0008162213723615,82,82,82,False,0.0,51.45611124793368,48.92716593566618,0.46878728367212974,0.53125,0.0,1.0481301934021907,-0.9996288697720569,False,False,False,False,False,transition,,50.0,256,0.4,42
1.7,0.3,1.0,100.0,2,uniform_noise,50.0,0.5,7.84313725490197e-08,20000,0.43925165873350347,0.9999999994377292,0.27071383164609636,0.41302326852364074,-9.256424151733231e-05,1.0006720223605259,82,82,82,False,0.0,51.45624694821811,48.92701374790652,0.4688569739756279,0.53125,0.0,1.0484147314170127,-0.9995404042911143,False,False,False,False,False,transition,,50.0,256,0.4,42
2.0,0.3,1.0,100.0,2,uniform_noise,50.0,0.5,6.666666666666673e-08,20000,0.4391762109129893,0.9999999995952292,0.2707138323846518,0.49247025209184897,-9.382346701333408e-05,1.0005710920852664,82,82,82,False,0.0,51.45634195229318,48.926907190225876,0.4689057705116131,0.53125,0.0,1.0486139603467104,-0.9994519047345903,False,False,False,False,False,transition,,50.0,256,0.4,42
0.1,0.4,1.0,100.0,2,uniform_noise,50.0,0.5,1.0000000000000006e-05,20000,0.42632386232831543,0.9999712753594386,0.27061451891332056,0.02192040481197113,-0.0005717317638324974,1.0868552225668489,82,81,82,False,0.0,51.37931984766453,49.00893596388454,0.4313596816108895,0.55078125,0.0,0.8948291127795122,-0.9999748681890266,False,False,False,False,False,transition,,50.0,256,0.4,42
0.2,0.4,1.0,100.0,2,uniform_noise,50.0,0.5,5.000000000000003e-06,20000,0.43074187240558764,0.9999622697114194,0.27066894513627776,0.0727803506503547,-0.0009965620869724448,1.0429456117427696,82,81,82,False,0.0,51.416782268961676,48.96903225321534,0.44937780109830466,0.546875,0.0,0.9687426082804454,-0.999917412958568,False,False,False,False,False,transition,,50.0,256,0.4,42
0.4,0.4,1.0,100.0,2,uniform_noise,50.0,0.5,2.5000000000000015e-06,20000,0.436436447332419,0.9999815511099109,0.2707041614122377,0.1765262552895749,-0.001235064727736185,1.0214710628998882,82,82,82,False,0.0,51.43623086729304,48.94777181277735,0.45904647969749823,0.53515625,0.0,1.0083181220034412,-0.9998023016007168,False,False,False,False,False,transition,,50.0,256,0.4,42
0.6,0.4,1.0,100.0,2,uniform_noise,50.0,0.5,1.666666666666668e-06,20000,0.43862335608416053,0.9999996885311727,0.27071259334890646,0.28072247199053874,-0.001318802405234208,1.014354461048623,82,82,82,False,0.0,51.44282396887724,48.94048037611044,0.462372888567628,0.52734375,0.0,1.021918705244206,-0.9996871758433697,False,False,False,False,False,transition,,50.0,256,0.4,42
0.8,0.4,1.0,100.0,2,uniform_noise,50.0,0.5,1.2500000000000007e-06,20000,0.43875760606448244,0.9999998567276875,0.27071316139039514,0.38503022469268205,-0.0013614994829463105,1.010752109905846,82,82,82,False,0.0,51.44614153355339,48.936795341124515,0.4640560120900263,0.52734375,0.0,1.028797464252163,-0.9995710713842689,False,False,False,False,False,transition,,50.0,256,0.4,42
1.0,0.4,1.0,100.0,2,uniform_noise,50.0,0.5,1.0000000000000006e-06,20000,0.4387927247946678,0.9999999087829625,0.2707134047301295,0.4893856034902555,-0.0013873872503359197,1.0085931694293613,82,82,82,False,0.0,51.448138841587934,48.93457161466973,0.46507232683001737,0.52734375,0.0,1.03295006766232,-0.9994548617854873,False,False,False,False,False,transition,,50.0,256,0.4,42
